Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_DOCETAXEL,NEOPLASMS,NCT03693612,Phase 2,0.08399710958665213,0.916002890413348
_PACLITAXEL,NEOPLASMS,NCT03693612,Phase 2,0.1342342012243561,0.8657657987756441
_DOCETAXEL,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.22224085960615195,0.7777591403938483
_GEMCITABINE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.4020229233087676,0.5979770766912325
_ARGININE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.4516903847374113,0.5483096152625887
_METHYLPREDNISOLONE,PNEUMONIA,NCT03852537,Phase 2,0.025846273767292333,0.9741537262327078
_TEICOPLANIN,CYSTIC FIBROSIS,NCT04176328,Phase 1,0.6157242062040557,0.3842757937959443
_PROPRANOLOL,OBSTRUCTIVE SLEEP APNEA,NCT03049306,Phase 2,0.15785497401889795,0.8421450259811022
_MELATONIN,OBSTRUCTIVE SLEEP APNEA,NCT02484300,Not Applicable,0.4356853153336061,0.5643146846663941
_TRIMETHOPRIM,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.4822883945040972,0.5177116054959028
_MINOCYCLINE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.3169230441472215,0.6830769558527785
_MUPIROCIN,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.40292879105503077,0.5970712089449692
_CHLORHEXIDINE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.5046654522836949,0.4953345477163051
_CHLORHEXIDINE_GLUCONATE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.5292864376848366,0.47071356231516326
_SULFAMETHOXAZOLE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.3898880634412301,0.6101119365587699
_CIPROFLOXACIN,PNEUMONIA,NCT03177720,Phase 1,0.0275915161326939,0.9724084838673062
_IMIPENEM,PNEUMONIA,NCT03177720,Phase 1,0.05512409592409047,0.9448759040759094
_SILDENAFIL,CYSTIC FIBROSIS,NCT04039087,Phase 2|Phase 3,0.009253403291066995,0.990746596708933
_ROFLUMILAST,ASTHMA,NCT04108377,Phase 1,0.04292650284419457,0.9570734971558055
_LEVOFLOXACIN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,NCT02067780,Phase 2,0.00964127410091273,0.9903587258990872
_CEPHALEXIN,CYSTIC FIBROSIS,NCT04553419,Phase 3,0.09199893360937551,0.9080010663906245
_CRIZOTINIB,NEOPLASMS,NCT03194893,Phase 3,0.4927847451197023,0.5072152548802977
_ALECTINIB,NEOPLASMS,NCT03194893,Phase 3,0.6331039215854193,0.3668960784145807
_FLUTICASONE,PHARMACOKINETICS,NCT03739294,Phase 2,0.1050150214067884,0.8949849785932116
_FLUTICASONE_FUROATE,PHARMACOKINETICS,NCT03739294,Phase 2,0.17595057789633597,0.824049422103664
_VILANTEROL,PHARMACOKINETICS,NCT03739294,Phase 2,0.34332102735179504,0.6566789726482049
_INULIN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,NCT04459156,Not Applicable,0.4916438424749795,0.5083561575250205
_CYSTEAMINE_BITARTRATE,ASTHMA,NCT03883984,Phase 1,0.2740910378509734,0.7259089621490269
_QUERCETIN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,NCT03989271,Phase 1|Phase 2,0.43679101181983,0.56320898818017
_BIA,OBSTRUCTIVE SLEEP APNEA,NCT02666781,,0.7409559322387469,0.2590440677612529
_OLEIC_ACID,CYSTIC FIBROSIS,NCT04531410,Not Applicable,0.25635988836362505,0.7436401116363749
_LINOLEIC_ACID,CYSTIC FIBROSIS,NCT04531410,Not Applicable,0.18754590298334406,0.8124540970166559
_ELX-02,CYSTIC FIBROSIS,NCT04135495,Phase 2,0.5929871515514163,0.4070128484485834
_PREDNISONE,COVID-19,NCT04451174,Phase 3,0.00044427430368745586,0.9995557256963126
_METHYLPREDNISOLONE,COVID-19,NCT04329650,Phase 2,0.003380473670503764,0.9966195263294962
_METHYLPREDNISOLONE,COVID-19 PNEUMONIA,NCT04438980,Phase 3,0.003380473670503764,0.9966195263294962
_AMIKACIN,PNEUMONIA VENTILATOR ASSOCIATED,NCT03149640,Phase 3,0.0855502031799077,0.9144497968200922
_MEROPENEM,"TUBERCULOSIS, PULMONARY",NCT03174184,Phase 2,0.008544472024768797,0.9914555279752313
_AMOXICILLIN,"TUBERCULOSIS, PULMONARY",NCT03174184,Phase 2,0.0018473588677967226,0.9981526411322034
_SIROLIMUS,COVID-19,NCT04341675,Phase 2,0.19123167954762615,0.8087683204523737
_MELPHALAN,NON-CYSTIC FIBROSIS BRONCHIECTASIS,NCT04278040,Phase 2,0.6364538278627581,0.36354617213724194
_HYDROCORTISONE,COMMUNITY ACQUIRED PNEUMONIA,NCT02517489,Phase 3,0.04908057456764061,0.9509194254323596
_PREDNISOLONE,ASTHMA IN CHILDREN,NCT03962894,,0.10151177046773821,0.8984882295322617
_AZITHROMYCIN,LOWER RESPIRATORY TRACT INFECTION,NCT03341273,Not Applicable,0.06110381806871211,0.9388961819312877
_PROCALCITONIN,LOWER RESPIRATORY TRACT INFECTION,NCT03341273,Not Applicable,0.7596986082074346,0.24030139179256524
_RUXOLITINIB,COVID-19,NCT04377620,Phase 3,0.7526100451074423,0.24738995489255736
_RUXOLITINIB,CORONAVIRUS INFECTION,NCT04348695,Phase 2,0.6377524107248957,0.3622475892751042
_SIMVASTATIN,CORONAVIRUS INFECTION,NCT04348695,Phase 2,0.1858399176265608,0.8141600823734394
_CYSTEINE,"TUBERCULOSIS, PULMONARY",NCT03702738,Phase 2,0.18703658882413482,0.8129634111758651
_CHOLECALCIFEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,NCT04011930,Phase 2,0.08607887713764978,0.9139211228623503
_IMATINIB,COVID-19 PNEUMONIA,NCT04346147,Phase 2,0.27109356684780694,0.7289064331521931
_LOPINAVIR,COVID-19 PNEUMONIA,NCT04346147,Phase 2,0.06398290157518652,0.9360170984248134
